Date,Total Rainfall (mm),Mean Wind Speed (km/h),Mean Amount of Cloud (%),Sun,Humidity
2021-03-17,0,4.9,42.0,10.7,80
2021-03-18,2,6.1,81.0,3.6,87
2021-03-19,0,6.3,55.0,9.0,82
2021-03-20,0,4.2,32.0,10.6,81
2021-03-21,0,9.4,80.0,0.0,73
2021-03-22,0,11.3,87.0,1.9,61
2021-03-23,0,6.2,88.0,0.1,61
2021-03-24,0,6.0,86.0,3.8,68
2021-03-25,0,9.3,45.0,9.0,70
2021-03-26,0,7.9,65.0,6.9,75
2021-03-27,0,5.3,62.0,7.0,80
2021-03-28,0,8.6,46.0,8.0,80
2021-03-29,0,14.4,81.0,5.8,82
2021-03-30,0,12.5,81.0,3.8,78
2021-03-31,0,10.8,86.0,2.4,79
2021-04-01,0,9.5,80.0,3.7,79
2021-04-02,0,7.0,55.0,8.0,79
2021-04-03,0,6.7,47.0,8.1,74
2021-04-04,0.5,3.7,88.0,0.1,86
2021-04-05,0.5,6.5,88.0,0.4,84
2021-04-06,0,6.6,78.0,6.8,77
2021-04-07,0,8.0,81.0,4.8,76
2021-04-08,0,8.0,87.0,1.4,74
2021-04-09,8.5,6.6,88.0,0.1,82
2021-04-10,0,8.3,52.0,10.3,65
2021-04-11,0,6.5,55.0,7.4,73
2021-04-12,0,4.7,55.0,5.9,80
2021-04-13,0,5.2,27.0,10.9,77
2021-04-14,0,5.8,70.0,2.8,84
2021-04-15,4,7.3,95.0,0.0,91
2021-04-16,0.5,5.8,89.0,0.9,88
2021-04-17,1.5,3.7,88.0,0.0,88
2021-04-18,0,9.5,89.0,3.3,67
2021-04-19,0,10.5,88.0,1.8,67
2021-04-20,0,9.1,83.0,4.9,73
2021-04-21,0,7.4,33.0,10.8,74
2021-04-22,0,8.6,23.0,10.3,74
2021-04-23,0,5.6,22.0,11.0,75
2021-04-24,0,8.3,79.0,2.1,82
2021-04-25,1,7.1,84.0,0.8,85
2021-04-26,1,7.5,88.0,0.5,80
2021-04-27,7,5.1,88.0,0.0,90
2021-04-28,1,5.0,88.0,0.5,88
2021-04-29,0,5.7,84.0,4.7,74
2021-04-30,0.5,6.3,73.0,9.1,77
2021-05-01,0,6.5,83.0,5.7,76
2021-05-02,1.5,4.7,82.0,3.5,82
2021-05-03,7.5,7.7,95.0,0.1,89
2021-05-04,21.5,8.1,82.0,6.7,84
2021-05-05,0.5,6.6,74.0,9.0,79
2021-05-06,0,8.8,75.0,6.7,79
2021-05-07,0,6.8,81.0,10.1,77
2021-05-08,0,11.3,52.0,10.1,79
2021-05-09,0,13.4,64.0,8.2,79
2021-05-10,0.5,9.6,66.0,8.5,76
2021-05-11,0,11.3,74.0,5.2,77
2021-05-12,0,10.6,80.0,4.1,78
2021-05-13,2,8.8,85.0,5.0,79
2021-05-14,0,7.8,70.0,5.9,77
2021-05-15,0,10.0,44.0,10.8,74
2021-05-16,0,10.8,58.0,9.6,74
2021-05-17,0,11.6,74.0,6.5,75
2021-05-18,0.5,13.0,78.0,5.5,76
2021-05-19,0,10.4,76.0,6.3,75
2021-05-20,0,14.0,86.0,5.6,75
2021-05-21,1,15.2,80.0,7.8,75
2021-05-22,0,10.4,71.0,7.5,77
2021-05-23,0,8.1,72.0,11.4,74
2021-05-24,1.5,5.7,83.0,5.7,81
2021-05-25,26,3.9,85.0,3.8,83
2021-05-26,11.5,8.0,67.0,8.7,77
2021-05-27,0,14.3,71.0,10.6,76
2021-05-28,0,13.7,71.0,11.1,77
2021-05-29,0,16.3,84.0,7.8,79
2021-05-30,0,17.4,84.0,4.9,81
2021-05-31,11.5,12.4,88.0,1.6,84
2021-06-01,34.5,5.5,92.0,0.4,91
2021-06-02,2,5.4,85.0,1.3,85
2021-06-03,0,8.3,63.0,9.3,77
2021-06-04,2,7.2,87.0,0.9,84
2021-06-05,0,4.5,80.0,3.1,73
2021-06-06,0.5,4.2,64.0,5.9,74
2021-06-07,0,7.8,68.0,6.2,78
2021-06-08,0,8.0,84.0,10.1,79
2021-06-09,4,4.8,88.0,3.9,87
2021-06-10,8,7.3,82.0,6.8,83
2021-06-11,21.5,9.3,85.0,7.0,82
2021-06-12,39,11.1,88.0,0.8,89
2021-06-13,8,7.3,88.0,2.1,85
2021-06-14,1,8.0,88.0,3.6,81
2021-06-15,7,10.2,87.0,7.2,79
2021-06-16,0,15.4,82.0,6.2,76
2021-06-17,0,14.3,63.0,8.6,77
2021-06-18,3.5,16.6,66.0,9.5,77
2021-06-19,1.5,16.5,81.0,8.2,77
2021-06-20,0,16.8,84.0,8.3,78
2021-06-21,9.5,12.6,86.0,4.6,80
2021-06-22,16,9.0,88.0,0.3,87
2021-06-23,47.5,5.2,89.0,0.2,88
2021-06-24,33.5,3.6,90.0,0.2,91
2021-06-25,0.5,4.8,87.0,0.9,87
2021-06-26,18,5.8,89.0,0.8,90
2021-06-27,6,12.7,88.0,1.4,84
2021-06-28,81.5,8.9,92.0,0.1,89
2021-06-29,6.5,14.0,86.0,0.8,82
2021-06-30,0,15.1,88.0,3.5,79
2021-07-01,0,14.7,88.0,7.5,78
2021-07-02,0,13.8,87.0,8.0,77
2021-07-03,0,8.7,85.0,5.4,79
2021-07-04,0,6.1,81.0,7.5,79
2021-07-05,0,6.3,68.0,6.5,79
2021-07-06,1,6.0,74.0,6.1,80
2021-07-07,16,9.3,73.0,5.8,81
2021-07-08,0.5,8.3,49.0,7.0,79
2021-07-09,0,4.3,28.0,9.7,76
2021-07-10,0,6.2,60.0,11.7,76
2021-07-11,0,6.2,84.0,9.8,77
2021-07-12,1.5,6.2,73.0,10.2,75
2021-07-13,0,7.2,55.0,11.7,72
2021-07-14,0,5.3,47.0,8.0,75
2021-07-15,0,6.6,41.0,12.0,71
2021-07-16,1,4.0,81.0,0.5,78
2021-07-17,0.5,4.8,88.0,5.6,80
2021-07-18,32,7.8,88.0,0.4,90
2021-07-19,79,10.0,93.0,0.3,93
2021-07-20,166,6.1,95.0,0.0,94
2021-07-21,54,5.9,88.0,0.2,94
2021-07-22,0,6.2,66.0,11.7,80
2021-07-23,0,6.8,40.0,10.7,77
2021-07-24,40,6.2,70.0,6.3,82
2021-07-25,16.5,8.3,55.0,9.6,81
2021-07-26,1,8.6,53.0,9.9,78
2021-07-27,3,6.7,67.0,8.5,75
2021-07-28,0,8.2,76.0,6.4,79
2021-07-29,0.5,4.9,84.0,1.8,82
2021-07-30,23,7.3,85.0,0.6,83
2021-07-31,17.5,9.5,88.0,4.1,84
2021-08-01,8.5,9.8,83.0,5.3,83
2021-08-02,7,5.8,84.0,5.8,80
2021-08-03,12.5,7.0,82.0,0.9,88
2021-08-04,36.5,6.3,84.0,1.5,85
2021-08-05,21.5,5.9,88.0,0.1,90
2021-08-06,54,8.1,89.0,0.3,89
2021-08-07,3.5,7.5,86.0,3.2,85
2021-08-08,0.5,9.3,86.0,1.6,85
2021-08-09,17.5,8.9,88.0,1.7,85
2021-08-10,31,3.5,88.0,0.8,87
